Abundance,Reference,Sampling_effort,species,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
0,Cameron et al. 2011,90,Bombus bifarius,107,122,30,9901,306,-100,406,218,-28,228,-28,936,112,32,38,322,108,318,108
27,Cameron et al. 2011,90,Bombus impatiens,107,122,30,9901,306,-100,406,218,-28,228,-28,936,112,32,38,322,108,318,108
0,Cameron et al. 2011,90,Bombus bifarius,123,117,29,9671,316,-79,395,177,-9,242,-9,995,125,36,32,335,133,301,133
20,Cameron et al. 2011,90,Bombus impatiens,123,117,29,9671,316,-79,395,177,-9,242,-9,995,125,36,32,335,133,301,133
0,Cameron et al. 2011,90,Bombus bifarius,71,122,26,11411,290,-165,455,209,-87,209,-87,782,108,19,48,308,71,308,71
5,Cameron et al. 2011,90,Bombus impatiens,71,122,26,11411,290,-165,455,209,-87,209,-87,782,108,19,48,308,71,308,71
0,Cameron et al. 2011,90,Bombus bifarius,67,116,26,11209,279,-163,442,202,-89,202,-89,838,107,23,46,318,80,318,80
47,Cameron et al. 2011,90,Bombus impatiens,67,116,26,11209,279,-163,442,202,-89,202,-89,838,107,23,46,318,80,318,80
0,Cameron et al. 2011,90,Bombus bifarius,166,117,34,8068,333,-10,343,168,223,266,56,1268,132,73,20,394,249,252,325
9,Cameron et al. 2011,90,Bombus impatiens,166,117,34,8068,333,-10,343,168,223,266,56,1268,132,73,20,394,249,252,325
0,Cameron et al. 2011,90,Bombus bifarius,75,115,26,11151,288,-153,441,211,-78,211,-78,808,103,22,45,307,78,307,78
6,Cameron et al. 2011,90,Bombus impatiens,75,115,26,11151,288,-153,441,211,-78,211,-78,808,103,22,45,307,78,307,78
0,Cameron et al. 2011,90,Bombus bifarius,68,123,27,11121,285,-163,448,190,-86,203,-86,821,105,23,45,314,79,309,79
21,Cameron et al. 2011,90,Bombus impatiens,68,123,27,11121,285,-163,448,190,-86,203,-86,821,105,23,45,314,79,309,79
0,Cameron et al. 2011,90,Bombus bifarius,125,133,33,9231,319,-78,397,178,-1,239,-1,990,110,51,19,295,179,268,179
26,Cameron et al. 2011,90,Bombus impatiens,125,133,33,9231,319,-78,397,178,-1,239,-1,990,110,51,19,295,179,268,179
0,Cameron et al. 2011,90,Bombus bifarius,125,133,33,9231,319,-78,397,178,-1,239,-1,990,110,51,19,295,179,268,179
0,Cameron et al. 2011,90,Bombus impatiens,125,133,33,9231,319,-78,397,178,-1,239,-1,990,110,51,19,295,179,268,179
0,Cameron et al. 2011,90,Bombus bifarius,123,127,31,9416,317,-81,398,219,-6,239,-6,965,107,46,21,296,169,269,169
1,Cameron et al. 2011,90,Bombus impatiens,123,127,31,9416,317,-81,398,219,-6,239,-6,965,107,46,21,296,169,269,169
0,Cameron et al. 2011,90,Bombus bifarius,160,119,33,8308,330,-22,352,162,219,262,47,1309,140,80,21,408,251,263,340
1,Cameron et al. 2011,90,Bombus impatiens,160,119,33,8308,330,-22,352,162,219,262,47,1309,140,80,21,408,251,263,340
0,Cameron et al. 2011,90,Bombus bifarius,85,111,26,10618,287,-130,417,214,-61,214,-61,878,108,28,39,314,100,314,100
29,Cameron et al. 2011,90,Bombus impatiens,85,111,26,10618,287,-130,417,214,-61,214,-61,878,108,28,39,314,100,314,100
0,Cameron et al. 2011,90,Bombus bifarius,65,129,28,10988,284,-166,450,186,-87,199,-87,830,108,24,43,315,84,306,84
25,Cameron et al. 2011,90,Bombus impatiens,65,129,28,10988,284,-166,450,186,-87,199,-87,830,108,24,43,315,84,306,84
0,Cameron et al. 2011,90,Bombus bifarius,128,120,31,9396,318,-69,387,224,1,245,1,983,103,50,19,293,183,270,183
0,Cameron et al. 2011,90,Bombus impatiens,128,120,31,9396,318,-69,387,224,1,245,1,983,103,50,19,293,183,270,183
0,Cameron et al. 2011,90,Bombus bifarius,118,119,30,9553,310,-79,389,175,-11,236,-11,954,107,46,22,299,164,273,164
0,Cameron et al. 2011,90,Bombus impatiens,118,119,30,9553,310,-79,389,175,-11,236,-11,954,107,46,22,299,164,273,164
0,Cameron et al. 2011,90,Bombus bifarius,69,123,28,10764,280,-155,435,188,-79,201,-79,815,103,25,42,302,86,297,86
60,Cameron et al. 2011,90,Bombus impatiens,69,123,28,10764,280,-155,435,188,-79,201,-79,815,103,25,42,302,86,297,86
0,Cameron et al. 2011,90,Bombus bifarius,98,116,28,10195,294,-111,405,202,-43,222,-43,935,103,34,30,305,131,295,131
9,Cameron et al. 2011,90,Bombus impatiens,98,116,28,10195,294,-111,405,202,-43,222,-43,935,103,34,30,305,131,295,131
0,Cameron et al. 2011,90,Bombus bifarius,101,116,28,10175,298,-106,404,205,-39,225,-39,930,102,35,30,303,132,292,132
54,Cameron et al. 2011,90,Bombus impatiens,101,116,28,10175,298,-106,404,205,-39,225,-39,930,102,35,30,303,132,292,132
0,Cameron et al. 2011,90,Bombus bifarius,77,116,27,10551,283,-137,420,206,-68,206,-68,814,100,27,39,296,95,296,95
22,Cameron et al. 2011,90,Bombus impatiens,77,116,27,10551,283,-137,420,206,-68,206,-68,814,100,27,39,296,95,296,95
0,Cameron et al. 2011,90,Bombus bifarius,131,124,32,9060,318,-62,380,131,8,243,8,1126,117,66,17,337,237,293,237
9,Cameron et al. 2011,90,Bombus impatiens,131,124,32,9060,318,-62,380,131,8,243,8,1126,117,66,17,337,237,293,237
0,Cameron et al. 2011,90,Bombus bifarius,87,115,28,10347,286,-123,409,213,-55,213,-55,910,112,31,35,315,117,315,117
4,Cameron et al. 2011,90,Bombus impatiens,87,115,28,10347,286,-123,409,213,-55,213,-55,910,112,31,35,315,117,315,117
0,Cameron et al. 2011,90,Bombus bifarius,118,120,30,9683,312,-80,392,175,-14,236,-14,958,102,48,22,300,168,282,168
10,Cameron et al. 2011,90,Bombus impatiens,118,120,30,9683,312,-80,392,175,-14,236,-14,958,102,48,22,300,168,282,168
0,Cameron et al. 2011,90,Bombus bifarius,134,119,32,8911,315,-54,369,133,198,244,13,1193,125,74,15,361,250,294,274
46,Cameron et al. 2011,90,Bombus impatiens,134,119,32,8911,315,-54,369,133,198,244,13,1193,125,74,15,361,250,294,274
0,Cameron et al. 2011,90,Bombus bifarius,140,120,32,8723,320,-44,364,140,202,249,22,1257,126,78,14,372,257,297,309
16,Cameron et al. 2011,90,Bombus impatiens,140,120,32,8723,320,-44,364,140,202,249,22,1257,126,78,14,372,257,297,309
0,Cameron et al. 2011,90,Bombus bifarius,110,119,30,9856,303,-90,393,211,-24,230,-24,984,109,47,24,309,168,300,168
11,Cameron et al. 2011,90,Bombus impatiens,110,119,30,9856,303,-90,393,211,-24,230,-24,984,109,47,24,309,168,300,168
0,Cameron et al. 2011,90,Bombus bifarius,168,127,38,7397,328,1,327,124,221,260,70,1419,156,83,21,429,256,300,410
63,Cameron et al. 2011,90,Bombus impatiens,168,127,38,7397,328,1,327,124,221,260,70,1419,156,83,21,429,256,300,410
0,Cameron et al. 2011,90,Bombus bifarius,114,118,30,9781,308,-84,392,214,-20,233,-20,994,112,51,22,311,181,300,181
4,Cameron et al. 2011,90,Bombus impatiens,114,118,30,9781,308,-84,392,214,-20,233,-20,994,112,51,22,311,181,300,181
0,Cameron et al. 2011,90,Bombus bifarius,111,115,29,9814,303,-86,389,212,-22,231,-22,986,113,49,23,313,173,303,173
14,Cameron et al. 2011,90,Bombus impatiens,111,115,29,9814,303,-86,389,212,-22,231,-22,986,113,49,23,313,173,303,173
